379,HOVLAND,COOK,MN,55606
380,HOWARD LAKE,WRIGHT,MN,55349
381,HOYT LAKES,SAINT LOUIS,MN,55750
382,HUGO,WASHINGTON,MN,55038
383,HUMBOLDT,KITTSON,MN,56731
384,HUNTLEY,FARIBAULT,MN,56047
385,HUTCHINSON,MCLEOD,MN,55350
386,IHLEN,PIPESTONE,MN,56140
387,INTERNATIONAL FALLS,KOOCHICHING,MN,56649
388,INVER GROVE HEIGHTS,DAKOTA,MN,55076
389,INVER GROVE HEIGHTS,DAKOTA,MN,55077
390,IONA,MURRAY,MN,56141
391,IRON,SAINT LOUIS,MN,55751
392,IRONTON,CROW WING,MN,56455
393,ISABELLA,LAKE,MN,55607
394,ISANTI,ISANTI,MN,55040
395,ISLE,MILLE LACS,MN,56342
396,IVANHOE,LINCOLN,MN,56142
397,JACKSON,JACKSON,MN,56143
398,JACOBSON,ITASCA,MN,55752
399,JANESVILLE,WASECA,MN,56048
400,JASPER,ROCK,MN,56144
401,JEFFERS,COTTONWOOD,MN,56145
402,JENKINS,CROW WING,MN,56456
403,JORDAN,SCOTT,MN,55352
404,KABETOGAMA,KOOCHICHING,MN,56669
405,KANARANZI,NOBLES,MN,56146
406,KANDIYOHI,KANDIYOHI,MN,56251
407,KARLSTAD,KITTSON,MN,56732
408,KASOTA,LE SUEUR,MN,56050
409,KASSON,DODGE,MN,55944
410,KEEWATIN,ITASCA,MN,55753
411,KELLIHER,BELTRAMI,MN,56650
412,KELLOGG,WABASHA,MN,55945
413,KENNEDY,KITTSON,MN,56733
414,KENNETH,ROCK,MN,56147
415,KENSINGTON,DOUGLAS,MN,56343
416,KENT,WILKIN,MN,56553
417,KENYON,GOODHUE,MN,55946
418,KERKHOVEN,SWIFT,MN,56252
419,KERRICK,PINE,MN,55756
420,KETTLE RIVER,CARLTON,MN,55757
421,KIESTER,FARIBAULT,MN,56051
422,KILKENNY,RICE,MN,56052
423,KIMBALL,STEARNS,MN,55353
424,KINNEY,SAINT LOUIS,MN,55758
425,KNIFE RIVER,LAKE,MN,55609
426,LA CRESCENT,HOUSTON,MN,55947
427,LA SALLE,WATONWAN,MN,56056
428,LAFAYETTE,NICOLLET,MN,56054
429,LAKE BENTON,LINCOLN,MN,56149
430,LAKE BRONSON,KITTSON,MN,56734
431,LAKE CITY,WABASHA,MN,55041
